Removed Pin From Net: NetName=GND Pin=U1-28
Change component parameters: Designator = "Все юарты обозначены относительно максов, то есть обратно относительно малины" ("Все юарты обозначены относительно максов, то есть обратно относительно малины"); Footprint = "PLD40"; UniqueID = "\HGJXKRSM" ("\HGJXKRSM")
Change component parameters (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://lib.chipdip.ru/463/DOC002463525.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Connfly"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = "Вилка штырьевая 40 пинов, шаг 2,54мм"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rate"; Value = "500В AC 1min"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shop"; Value = "https://www.chipdip.ru/product/pld-40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = " RPI 4B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value1"; Value = "{Value1}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value2"; Value = "{Value2}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value3"; Value = "{Value3}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value4"; Value = "{Value4}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value5"; Value = "{Value5}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value6"; Value = "{Value6}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value7"; Value = "{Value7}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value8"; Value = "{Value8}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value9"; Value = "{Value9}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value10"; Value = "{Value10}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value11"; Value = "{Value11}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value12"; Value = "{Value12}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value13"; Value = "{Value13}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value14"; Value = "{Value14}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value15"; Value = "{Value15}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value16"; Value = "{Value16}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value17"; Value = "{Value17}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value18"; Value = "{Value18}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value19"; Value = "{Value19}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value20"; Value = "{Value20}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value21"; Value = "{Value21}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value22"; Value = "{Value22}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value23"; Value = "{Value23}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value24"; Value = "{Value24}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value25"; Value = "{Value25}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value26"; Value = "{Value26}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value27"; Value = "{Value27}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value28"; Value = "{Value28}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value29"; Value = "{Value29}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value30"; Value = "{Value30}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value31"; Value = "{Value31}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value32"; Value = "{Value32}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value33"; Value = "{Value33}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value34"; Value = "{Value34}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value35"; Value = "{Value35}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value36"; Value = "{Value36}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value37"; Value = "{Value37}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value38"; Value = "{Value38}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value39"; Value = "{Value39}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value40"; Value = "{Value40}"; VariantName = "[No Variations]"
Added Pin To Net: NetName=5V Pin=U1-28
